Term,Document Frequency,Postings Lists
المساهمة,2,15 - 20
المساواة,2,7 - 12
المستجيبين,1,5
المستخدم,3,4 - 17 - 20
المستخدمة,5,4 - 9 - 14 - 15 - 21
المستخدمين,3,16 - 20 - 21
المستدامة,1,15
المستشفيات,1,17
المستقبالت131,1,4
المستقبل,10,1 - 3 - 4 - 6 - 10 - 13 - 14 - 19 - 20 - 21
المستقبلي,1,21
المستقبلية,2,1 - 4
المستقبليين,1,4
المستقل,2,19 - 20
المستمر,2,2 - 17
المستمرة,1,14
المستوى,5,3 - 11 - 15 - 17 - 21
المسجلة,1,13
المسلسلات,1,20
المسماة,2,3 - 4
المسمى,1,3
المسيطر,1,12
المشاة,1,20
المشاركون,4,9 - 10 - 11 - 12
المشاركين,4,9 - 10 - 11 - 12
المشاعر,3,1 - 3 - 17
المشاكل,5,1 - 2 - 3 - 4 - 10
المشاكل110111,1,4
المشاهد,1,20
المشتركة,1,3
المشروع,2,1 - 3
المشكالت,4,1 - 3 - 4 - 6
المشكالتعدل,1,3
المشكلات,3,16 - 17 - 19
المشكلة,5,1 - 3 - 4 - 15 - 17
المشكلة48,1,3
المشكلت,1,5
المشهد,1,12
المصادر,1,4
المصانع,1,21
المصدر,1,4
المصرفي,1,20
المصطلح,4,2 - 5 - 6 - 12
المصمم,1,19
المصممة,1,4
المصنف,1,4
المصنفات,1,4
المصنفين,1,4
المضادة,1,3
المضطرد,1,19
المطابقة,1,4
المطارات,1,21
المطاف,3,1 - 2 - 3
المطرد,1,21
المطلوب,1,19
المطلوبة,1,19
المطورون,1,5
المعارف,2,3 - 19
المعارك,1,20
المعالجات,1,20
المعالجة,5,1 - 3 - 4 - 6 - 8
المعاني,1,6
المعة,1,4
المعتادة,1,5
المعتقد,1,4
المعتمد,1,11
المعدات,2,2 - 19
المعدل,1,8
المعرضة,1,7
المعرضين,1,7
المعرفة,13,1 - 2 - 3 - 4 - 6 - 8 - 13 - 14 - 15 - 17 - 19 - 20 - 21
المعرفة52,1,3
المعرفةعدل,1,3
المعرفي,2,14 - 19
المعرفية,4,3 - 6 - 14 - 19
المعروضة,1,15
المعروف,1,17
المعروفة,5,1 - 2 - 3 - 10 - 12
المعزز,1,6
المعضلة,1,21
المعقدة,5,1 - 3 - 6 - 17 - 18
المعلم,2,19 - 20
المعلمون,1,19
المعلمين,2,19 - 20
المعلمينهي,1,15
المعلومات,7,1 - 3 - 6 - 7 - 15 - 16 - 19
المعلوماتي,1,19
المعلومة54,1,4
المعمارية,1,16
المعنى,1,17
المعيار,1,9
المعيارية,1,15
المفاهيم,2,1 - 3
المفاوضات,1,18
المفردات,1,20
المفكر,1,3
المفهوم,1,1
المقاالت,1,4
المقابل,1,21
المقال,1,18
المقالات,1,15
المقالة,2,3 - 4
المقبلة,3,16 - 18 - 20
المقبول,1,3
المقبولة,1,13
المقتصرة,1,13
المقدرة,1,2
المقدسة,1,4
المقدمة,1,2
المقرر,1,17
المقصود,2,6 - 16
المقلق,1,21
المكان,3,1 - 3 - 15
المكتبية,2,19 - 20
المكتسبة,2,8 - 17
المكتوبة,1,12
المكونات,1,8
المكونة,1,14
الملايين,1,20
الملكية,2,13 - 20
الممارسات,1,10
الممارسة,1,5
الممتحنين,1,4
الممتدة,1,20
الممكن,4,2 - 3 - 4 - 20
الممكنة,1,4
المناسب,2,4 - 19
المناطق,1,12
المناهج,5,1 - 2 - 3 - 4 - 19
المناهجعدل,1,3
المنبع,1,15
المنتجات,3,4 - 9 - 20
المنتجة,1,16
المنتظم,1,3
المنتظمة,1,3
المنتظمعدل,1,3
المنزل,2,19 - 20
المنزلي,1,19
المنشآت,1,21
المنطق,3,1 - 3 - 4
المنطقعدل,1,4
المنطقي,4,1 - 2 - 3 - 4
المنطقية,5,1 - 2 - 3 - 14 - 21
المنطقية37,1,3
المنطقية81,1,3
المنطقيعدل,1,3
المنطوقة,1,6
المنظمات,1,11
المنظمة,1,4
المنظور,4,1 - 3 - 7 - 21
المنفردة,1,3
المنفعة,2,1 - 3
المنهج,1,3
المنهجيات,1,11
المنوطة,1,20
المهارات,3,1 - 3 - 15
المهارة,3,1 - 3 - 20
المهام,8,4 - 5 - 6 - 8 - 16 - 17 - 19 - 20
المهم,4,5 - 8 - 18 - 21
المهمة,2,13 - 17
المهن,1,21
المهنة,2,19 - 20
المهنية,2,11 - 12
المواد,2,16 - 19
الموارد,3,6 - 15 - 21
المواصفات,2,1 - 3
المواقف,3,2 - 3 - 17
المواهب,3,9 - 10 - 11
الموجهة,1,2
الموجود,1,8
الموجودة,3,8 - 16 - 20
الموسيقى,1,18
الموظفات,1,11
الموظفون,2,6 - 12
الموظفين,5,6 - 10 - 11 - 12 - 19
الموقع,3,17 - 19 - 20
الموقف,1,4
الميدانية,1,20
الميزانيات,1,10
الميزانية,1,11
الناتج,1,12
الناتجة,1,10
الناجمة,1,21
الناحية,4,1 - 2 - 3 - 4
الناس,8,1 - 2 - 3 - 14 - 15 - 16 - 17 - 19
الناشئ,2,1 - 3
الناشئة,2,15 - 17
الناقد,2,1 - 3
النامية,2,7 - 19
النتائج,11,4 - 7 - 8 - 9 - 10 - 11 - 12 - 14 - 18 - 19 - 20
النتيجة,3,14 - 19 - 20
النجاح,4,2 - 3 - 10 - 17
النجاحات,1,3
النجوم,1,4
النحو,2,4 - 8
النزعة,1,4
النساء,1,12
النسبة,3,9 - 11 - 12
النسبية,1,3
النص,3,1 - 3 - 9
النصف,1,15
النصوص,3,1 - 3 - 20
النصية,2,16 - 20
النطاق,2,8 - 20
النظام,8,2 - 3 - 4 - 6 - 8 - 13 - 14 - 20
النظر,4,3 - 4 - 8 - 19
النظريات,1,2
النظرية,6,1 - 2 - 3 - 4 - 12 - 19
النظم,3,3 - 4 - 20
النظيرة,1,10
النفس,3,1 - 3 - 14
النفسي,1,21
النفسية,1,21
النق,1,2
النقاد,1,4
النقاش,1,15
النقاشا,1,1
النقد,1,7
النقص,1,11
النقطة,2,10 - 11
النقل,2,4 - 19
النماذج,4,1 - 3 - 10 - 20
النمطي,1,4
النمطية,2,15 - 19
النمل,1,4
النمو,2,7 - 8
النموذج,4,3 - 4 - 19 - 20
النهائي,1,17
النهائية,2,9 - 10
النهاية,3,15 - 16 - 20
النهج,1,17
النهوض,1,15
النوع,7,1 - 3 - 4 - 13 - 14 - 17 - 18
النوعية,1,20
النوعين,1,18
الهائلة,1,7
الهامة,1,4
الهجمات,1,21
الهدف,9,4 - 6 - 8 - 13 - 14 - 17 - 18 - 19 - 20
الهرم,1,3
الهرمي,2,3 - 4
الهرمية,1,3
الهستيريا,1,16
الهندسة,2,1 - 3
الهواتف,1,18
الهوية,1,4
الهيئات,1,15
الهياكل,2,1 - 3
الهيكل,1,13
الواجب,1,19
الواجبات,1,19
الواحد,1,2
الواحدة,1,14
الواعية,2,1 - 3
الواقع,6,1 - 3 - 8 - 14 - 20 - 21
الوثوق,1,13
الوجه,3,8 - 13 - 18
الوجوه,3,1 - 3 - 17
الوحيد,3,1 - 3 - 17
الورشة,1,18
الورقة,1,6
الوسائط,2,16 - 20
الوسائل,2,2 - 4
الوصفي,1,4
الوصول,5,3 - 4 - 13 - 14 - 20
الوطنية,1,21
الوظائف,6,4 - 5 - 7 - 11 - 16 - 21
الوظيفتان,1,11
الوظيفي,1,11
الوظيفية,3,11 - 12 - 21
الوعي,3,1 - 3 - 18
الوفاء,1,13
الوقت,12,1 - 3 - 4 - 6 - 7 - 8 - 10 - 13 - 14 - 18 - 19 - 21
الوقوف,1,12
الولايات,2,16 - 21
الى,2,19 - 20
الي,1,3
اليابانيةالشبح,1,4
اليتيل,1,2
اليد,4,1 - 3 - 4 - 12
اليدوي,1,10
اليدوية,3,6 - 17 - 19
اليقين,2,1 - 21
اليقين56,1,3
اليوم,13,1 - 2 - 4 - 8 - 9 - 11 - 12 - 14 - 15 - 17 - 18 - 20 - 21
اليومية,3,4 - 17 - 20
اليونانية,2,4 - 8
اليونسكو,1,15
اما,1,19
امتدادات,1,4
امتلاك,1,21
امرأة,1,17
املة,1,4
ان,2,19 - 20
انترنت,1,19
انتشارا,2,9 - 11
انتشرت,1,20
انتقادات,1,2
انتقال,1,11
انتكاسة,1,2
انجاز,1,4
انخفاض,1,7
انخفض,1,17
اندماجي,3,1 - 3 - 4
انطلاق,1,20
انظر,1,2
انظمة,1,3
انعكس,1,21
انفجار,3,1 - 3 - 4
انقراض,1,16
انقسمت,1,3
انها,1,19
انهيار,1,2
اهتمامات,1,16
اهم,1,19
اهمال,2,19 - 20
او,2,19 - 20
بآخر,1,20
بأحدهم,1,18
بأخرى,2,13 - 20
بأسئلة,1,19
بأسلوب,1,13
بأسواق,1,13
بأشكال,1,5
بأشياء,2,8 - 13
بأطروحة,1,3
بأفالم,1,1
بأفعال,2,1 - 3
بأكثر,1,5
بأكملها,2,14 - 19
بأمان,1,7
بأمانة,2,1 - 3
بأن,6,10 - 11 - 13 - 14 - 18 - 21
بأنه,5,2 - 3 - 8 - 20 - 21
بأنها,3,3 - 4 - 11
بأي,3,2 - 8 - 13
بأيديهم,1,18
بإجراء,1,14
بإنشاء,2,4 - 6
بإيقاف,1,12
باءت,1,4
باآللةكان,1,2
باألخص,1,1
باألساس,1,2
باألعمال,2,5 - 6
باإلضافة,1,5
باتخاذ,1,11
باحتمال,1,7
باحتمالية,1,21
باحثو,2,3 - 4
باحثون,1,3
باحثي,3,1 - 3 - 17
باحثين,1,3
باختبار,1,4
باختبارات,1,4
باراك,1,21
بارد,2,13 - 20
بارزا,1,13
باريس,1,15
باستثمارات,1,5
باستخدام,10,1 - 3 - 4 - 5 - 6 - 10 - 12 - 14 - 18 - 20
باستكشاف,1,3
باستمرار,2,8 - 17
باسم,9,1 - 3 - 4 - 8 - 10 - 12 - 16 - 17 - 18
باعتباره,1,4
باعتبارها,1,15
باعتقادي,1,21
باقتصادات,1,7
بال,1,6
بالأخلاقية,1,13
بالأعمال,1,19
بالأمراض,1,17
بالأمور,1,20
بالإجابات,1,17
بالإضافة,4,16 - 17 - 19 - 20
بالإنجليزية,1,18
بالإنسان,2,19 - 21
بالابتكارات,1,20
بالاحترام,1,15
بالاستمرارية,1,19
بالاعتماد,1,20
بالبحث,1,4
بالبرولوج,1,3
بالبيانات,2,6 - 10
بالتأكيد,2,16 - 21
بالتبادل,1,5
بالتحرك,1,3
بالتحور,1,4
بالتخطيط,1,3
بالترتيب,1,16
بالتركيز,1,6
بالتصميم,1,21
بالتعليم,1,15
بالتفكير,1,6
بالتكنولوجيا,1,21
بالتمييز,1,15
بالتوازي,1,20
بالتوقعات,1,2
بالحاجة,1,19
بالخير,1,20
بالدقة,2,4 - 21
بالذاكرة,1,12
بالذكاء,12,1 - 3 - 6 - 7 - 10 - 11 - 14 - 15 - 16 - 17 - 18 - 20
بالراحة,1,5
بالرد,1,16
بالرغم,2,1 - 3
بالرموز,2,2 - 3
بالرموز2930,1,2
بالشبكات,1,3
بالشركات,1,11
بالشطرنج,2,1 - 3
بالشق,1,21
بالصور,1,20
بالضبط,1,18
بالضرورة,4,3 - 8 - 15 - 21
بالطبع,2,1 - 3
بالطريقة,2,1 - 3
بالظهور,1,18
بالعالم,2,1 - 3
بالعقود,1,6
بالعمل,1,13
بالعواطف,1,4
بالغ,1,13
بالغة,1,13
بالغرفة,1,2
بالفشل,1,4
بالفعل,5,1 - 12 - 14 - 15 - 21
بالكائنات,1,17
بالكامل,3,15 - 19 - 20
بالكثير,1,4
باللغة,2,9 - 18
بالمائة,1,5
بالمالحظات,1,4
بالمثل,1,13
بالمدخالت,1,2
بالمسألة,1,20
بالمساهمة,1,21
بالمساواة,1,15
بالمشورة,1,4
بالمعاملت,1,5
بالمعاناة,1,4
بالمغرب,1,15
بالمقارنة,2,10 - 11
بالمهارات,1,15
بالموقف,1,2
بالنتائج,1,10
بالنسبة,11,1 - 3 - 4 - 5 - 10 - 11 - 12 - 13 - 14 - 18 - 21
بالنفع,1,7
بالوظائف,1,18
بالولوج,1,21
باميال,1,4
بايز,1,4
بايزية,1,4
ببحوث,1,21
ببرنامج,1,16
ببساطة,4,1 - 3 - 17 - 18
ببعض,1,18
ببعضها,3,2 - 3 - 4
بتأثيرات,1,21
بتأثيره,1,7
بتأسيس,1,7
بتجارب,1,12
بتجاوز,1,20
بتحديد,2,1 - 3
بتحقيق,1,9
بتحليلها,1,20
بتخزين,1,6
بتشات,1,13
بتطوير,1,21
بتعلم,1,11
بتعيين,1,11
بتقنيات,1,18
بتقنية,1,13
بتلر,1,4
بتلك,1,20
بتمثيل,1,4
بتمثيلها,2,1 - 3
بتنفيذ,3,12 - 18 - 21
بتنوير,1,15
بتوليد,1,20
بثلاث,2,11 - 21
بثم,1,1
بجماليون143,1,4
بجودة,1,20
بح,1,1
بحاجة,1,4
بحال,1,18
بحث,3,3 - 4 - 14
بحثا,2,4 - 21
بحثنا,2,11 - 12
بحثي,1,13
بحجته,1,2
بحد,1,19
بحدوث,1,20
بحرية,2,15 - 21
بحسب,3,9 - 12 - 19
بحلول,3,2 - 4 - 17
بحوث,4,2 - 3 - 4 - 21
بحياة,1,20
بحيث,6,13 - 14 - 15 - 16 - 20 - 21
بخانتين,1,21
بخبرة,1,15
بخط,1,12
بخوارزميات,1,8
بد,1,21
بدءا,4,2 - 11 - 17 - 18
بدأ,4,2 - 3 - 18 - 21
بدأت,3,3 - 4 - 21
بدائل,2,11 - 21
بدائي,1,12
بدائية,1,3
بدافع,1,13
بدال,2,3 - 4
بداياته,1,18
بداية,1,10
بدراسة,1,6
بدرجة,2,2 - 10
بدقة,5,2 - 6 - 7 - 20 - 21
بدلا,4,13 - 14 - 16 - 21
بدوام,1,16
بدورهم,2,19 - 20
بدورين,2,1 - 3
بدون,4,6 - 12 - 14 - 19
بديلا,1,21
بديلة,1,21
بديهيات,2,1 - 3
بديهية,2,1 - 3
بذاته,1,18
بذاتها,1,8
بذكاء,3,2 - 6 - 19
بذلك,2,4 - 20
براءات,1,13
براقة,1,4
برامج,10,2 - 3 - 4 - 7 - 11 - 12 - 15 - 16 - 17 - 20
برامجنا,1,15
برز,2,4 - 13
برسالتها,1,15
برقم,1,21
برمجة,5,14 - 15 - 17 - 18 - 20
برمجته,2,2 - 20
برمجتها,1,20
برمجيا,1,21
برمجيات,1,10
برمجية,2,16 - 18
برنامج,7,2 - 12 - 14 - 17 - 18 - 19 - 20
برودني,1,3
بروكس,2,3 - 17
بريد,1,20
برينستون,1,3
بريوس,1,4
بزيادة,1,5
بسبب,6,8 - 13 - 14 - 17 - 20 - 21
بسخاء,1,2
بسرعات,1,20
بسرعة,7,4 - 6 - 13 - 14 - 15 - 17 - 20
بسنوات,1,15
بسهولة,2,4 - 14
بسيط,1,5
بسيطة,2,3 - 4
بشأن,6,3 - 12 - 13 - 15 - 16 - 17
بشبكات,1,21
بشري,4,6 - 13 - 17 - 20
بشريا,1,17
بشرية,1,5
بشكل,19,1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 10 - 11 - 12 - 13 - 14 - 15 - 16 - 17 - 19 - 20 - 21
بشن,1,21
بشيء,1,7
بصحة,1,21
بصعود,1,4
بصفته,1,18
بصلة,1,3
بصوت,1,17
بصورة,4,9 - 10 - 11 - 19
بضعة,2,8 - 20
بطاقة,1,20
بطبيعة,1,1
بطرق,4,4 - 6 - 7 - 14
بطريقة,8,1 - 3 - 4 - 8 - 12 - 13 - 14 - 15
بطل,4,3 - 6 - 17 - 18
بطيئا,1,4
بع,2,2 - 4
بعام,1,9
بعبارة,1,6
بعدم,1,21
بعرض,1,16
بعرقلة,1,11
بعضا,1,3
بعضها,1,7
بعضهم,3,3 - 4 - 21
بعمق,2,13 - 15
بعناية,1,21
بعنوان,3,6 - 14 - 18
بعيد,2,2 - 18
بعيدا,1,14
بعيدة,2,14 - 19
بغرض,1,10
بغض,1,19
بغية,1,12
بغيرها,1,11
بـ,3,14 - 16 - 21
بـ36,1,19
بـ5,1,20
بـأفضل,1,4
بـالحقائق,2,1 - 3
بـالمحولات,1,20
بفضل,4,6 - 10 - 18 - 21
بفكرة,1,8
بقوانينها,1,20
بقوة,1,12
بقيمة,2,4 - 20
بكثافة,1,19
بكثير,5,3 - 8 - 10 - 11 - 17
بكفاءة,1,5
بكل,3,8 - 15 - 17
بكميات,2,16 - 20
بكيفية,1,14
بلا,1,14
بلاير,1,16
بلغ,1,19
بلغات,1,4
بلغت,1,19
بمتطلبات,1,13
بمثابة,1,18
بمجرد,4,5 - 14 - 15 - 20
بمجموعة,1,7
بمختلف,1,12
بمدى,3,1 - 3 - 5
بمراحل,1,18
بمرتين,1,11
بمرو,1,13
بمرور,3,7 - 12 - 13
بمزايا,1,5
بمزيد,2,10 - 21
بمستقب,1,1
بمستوى,2,3 - 17
بمسمى,1,3
بمشاركة,1,15
بمشكلة,2,1 - 3
بمعدل,3,4 - 8 - 10
بمعنى,1,3
بمفردها,1,6
بمفهومها,1,21
بمكان,1,19
بمكانة,1,10
بمناهج,1,2
بمهارات,1,11
بمهام,2,4 - 16
بموافقة,1,15
بن,1,4
بناء,11,1 - 2 - 3 - 5 - 11 - 12 - 15 - 16 - 17 - 18 - 20
بناؤه,1,17
بنجاح,3,4 - 5 - 8
بنزعات,1,20
بنسبة,6,9 - 10 - 11 - 12 - 16 - 20
بنظام,2,8 - 14
بنظرة,2,1 - 3
بنظرية,1,4
بنفس,1,19
بنفسه,2,2 - 18
بنك,1,16
بنمو,1,15
بنوع,1,16
بنى,1,1
بني,1,4
به36,1,3
بهدف,2,20 - 21
بهذا,2,8 - 17
بهذه,2,8 - 19
بواسطة,3,16 - 17 - 19
بواقع,2,10 - 11
بوت,1,16
بوتيرة,1,7
بوجه,1,2
بوجود,1,12
بوستروم,1,3
بوشر,1,14
بوصفها,2,4 - 13
بوضع,1,19
بوضوح,1,11
بول,1,4
بيئة,2,10 - 17
بيئته,4,2 - 3 - 8 - 17
بياتريس,1,14
بيانا,1,16
بيانات,8,4 - 6 - 10 - 11 - 13 - 14 - 20 - 21
بيانية,1,4
بيرل,1,4
بيل,1,12
بينت,1,11
بينروز,1,2
بينغ,1,13
بينما,3,7 - 9 - 15
بيننا,1,13
بينها,5,4 - 12 - 17 - 20 - 21
بينهم,2,19 - 20
بيولوجيا,1,3
بيولوجية,1,14
تأثير,4,4 - 13 - 14 - 21
تأثيره,1,7
تأثيرها,1,21
تأجيج,1,7
تأجيل,1,18
تأخير,1,20
تأدية,2,3 - 17
تأسس,1,2
تأسيس,1,20
تأسيسية,1,20
تأطير,1,21
تأكد,2,1 - 3
تأمين,1,19
تؤثر,2,14 - 16
تؤثران,1,7
تؤدي,7,1 - 3 - 4 - 5 - 12 - 15 - 16
تؤهل,1,19
تابع,2,12 - 20
تاري,1,1
تاريخ,3,8 - 13 - 18
تالية,1,14
تام,1,21
تايلور,1,12
تايمز,1,14
تاينا,1,14
تبادل,1,21
تبحث,1,4
تبدأ,2,4 - 14
تبدو,3,1 - 3 - 17
تبذل,1,11
تبقى,1,14
تبلغ,2,7 - 11
تبنى,2,1 - 3
تبني,2,5 - 20
تبي,1,1
تتأثر,3,7 - 15 - 16
تتابع,2,1 - 3
تتبعنا,1,9
تتجاوز,3,1 - 3 - 8
تتجه,3,10 - 19 - 21
تتحدث,1,21
تتحكم,1,21
تتزايد,1,19
تتسم,1,19
تتشكل,1,2
تتصل,1,3
تتضمن,2,2 - 18
تتطرق,1,10
تتطلب,8,1 - 2 - 3 - 4 - 5 - 7 - 8 - 17
تتعامل,1,8
تتعرف,2,5 - 18
تتعلق,2,12 - 14
تتعلم,3,5 - 6 - 8
تتفاعل,1,18
تتفوق,3,10 - 11 - 12
تتقدم,1,8
تتكون,1,13
تتلقاها,1,18
تتم,3,8 - 20 - 21
تتمتع,1,15
تتمثل,2,1 - 3
تتمحور,1,2
تتمكن,1,6
تتميز,2,10 - 11
تتناسب,1,16
تتناول,1,4
تتناولها,1,8
تتهم,1,21
تتواجد,1,18
تتوافق,1,15
تتولى,3,7 - 12 - 16
تتيح,2,15 - 18
تجارب,1,6
تجاربا,1,3
تجارية,1,11
تجاوز,2,13 - 21
تجاوزنا,1,18
تجد,2,1 - 3
تجدد,1,3
تجربة,2,20 - 21
تجري,1,13
تجريبية,1,4
تجمع,2,6 - 19
تجمعوا,1,3
تجميع,1,21
تجنب,1,8
تح,1,5
تحاكي,4,1 - 2 - 3 - 18
تحاكيه,1,2
تحتاج,6,1 - 3 - 8 - 15 - 20 - 21
تحتوي,2,13 - 20
تحد,1,20
تحدث,2,4 - 16
تحدد,2,4 - 13
تحديا,2,2 - 4
تحديات,1,15
تحديث,1,19
تحديثا,1,21
تحديد,11,1 - 3 - 4 - 6 - 8 - 12 - 13 - 14 - 15 - 16 - 20
تحديدا,2,12 - 21
تحرص,1,10
تحرك,2,20 - 21
تحريرهم,1,19
تحريك,2,2 - 4
تحسبا,1,8
تحسن,1,8
تحسين,6,4 - 5 - 11 - 12 - 17 - 19
تحسينات,1,4
تحصل,1,16
تحقق,2,9 - 12
تحقيق,7,2 - 6 - 10 - 12 - 14 - 17 - 19
تحقيقه,3,5 - 13 - 14
تحكم,1,4
تحل,2,7 - 19
تحلل,1,16
تحلها,2,1 - 3
تحليال,1,7
تحليالت,1,8
تحليل,6,1 - 3 - 4 - 6 - 19 - 20
تحمل,2,18 - 21
تحوال,1,7
تحولت,1,12
تحيز,1,20
تحيط,1,1
تحييد,1,21
تخبرنا,2,13 - 14
تخزين,1,21
تخصيص,5,9 - 11 - 19 - 20 - 21
تخطيط,1,4
تخمين,1,4
تخمينا,1,4
تخولها,1,10
تداعياتها,1,12
تداول,1,20
تدخل,2,13 - 20
تدرس,1,3
تدريب,7,4 - 6 - 7 - 13 - 14 - 19 - 20
تدريبه,1,20
تدريبها,1,16
تدريجيا,1,4
تدعم,1,4
تدعو,1,15
تدمج,2,1 - 3
تدميرها,1,1
تدور,1,18
تدير,1,8
ترابط,1,12
ترابطا,1,20
تراجع,3,11 - 13 - 14
تراشق,1,21
تراكم,1,14
تراكيب,1,4
ترامب,1,21
ترتبط,1,13
ترتكز,1,14
ترجمة,2,18 - 20
ترجيح,1,12
ترد,2,2 - 4
ترغب,2,16 - 20
ترفع,1,20
تركز,4,3 - 11 - 12 - 20
تركيز,1,3
تركيزا,1,11
تركيزها,1,21
ترميز,2,13 - 14
ترى,1,13
تريد,1,18
تزال,3,8 - 11 - 19
تزايد,1,11
تزعزع,1,16
تزويد,3,10 - 11 - 16
تزويدهم,1,15
تزيد,7,2 - 3 - 7 - 8 - 11 - 13 - 17
تزيل,1,20
تساؤالت,1,7
تساؤلات,1,16
تساؤلاته,1,21
تسارعا,1,21
تساعد,1,19
تساهم,2,9 - 10
تستبدل,1,21
تستثمر,1,5
تستجيب,1,18
تستخدم,10,3 - 4 - 5 - 9 - 13 - 16 - 18 - 19 - 20 - 21
تستخدمه,2,1 - 3
تستخدمها,1,21
تستخلص,1,6
تستطيع,2,18 - 20
تستغرق,2,8 - 19
تستفيد,1,8
تستكشف,1,20
تستلهم,1,13
تستمد,1,8
تستهلك,1,19
تستهلكها,1,5
تسريع,1,10
تسعى,4,1 - 3 - 10 - 13
تسعينيات,1,14
تسلسل,1,4
تسلط,1,10
تسليمه,1,19
تسمح,2,3 - 4
تسمى,3,1 - 3 - 4
تسمية,1,13
تسهل,1,14
تسهم,1,13
تسيطر,1,1
تشابيك,1,18
تشات,3,12 - 16 - 20
تشارك,1,15
تشبه,2,6 - 18
تشذيب,1,4
تشغليها,1,16
تشغيل,1,4
تشكل,4,2 - 10 - 12 - 15
تشكله,1,19
تشكيل,2,4 - 14
تشكيلها,1,12
تشمل,4,1 - 3 - 4 - 5
تشهد,1,19
تشهده,1,19
تشهدها,1,2
تشير,3,11 - 13 - 17
تصب,1,7
تصبح,2,13 - 16
تصحيح,1,19
تصرفاته,1,1
تصرفاته55,1,3
تصل,3,1 - 3 - 14
تصمم,1,3
تصميم,4,2 - 13 - 14 - 17
تصنف,1,4
تصنيع,2,10 - 11
تصنيف,1,4
تصنيفها,1,4
تصور,3,1 - 3 - 4
تصوره,1,4
تصيح,1,18
تضاعف,1,9
تضخيم,1,16
تضطلع,1,12
تضع,1,2
تضم,2,11 - 15
تضمن,2,10 - 13
تطالب,1,12
تطبق,1,4
تطبيق,6,4 - 5 - 6 - 13 - 14 - 21
تطبيقا,3,1 - 13 - 16
تطبيقات,14,1 - 3 - 4 - 5 - 7 - 9 - 10 - 11 - 13 - 15 - 17 - 18 - 19 - 21
تطبيقاتك,1,6
تطبيقاته,3,4 - 15 - 18
تطبيقاتهم,1,11
تطبيقه,1,8
تطبيقها,1,4
تطبيقي,1,16
تطبيقين,1,9
تطلب,1,2
تطلق,1,13
تطور,5,8 - 14 - 17 - 18 - 21
تطورا,1,19
تطورات,2,12 - 15
تطورت,2,6 - 9
تطوره,1,16
تطوير,12,3 - 9 - 10 - 11 - 12 - 14 - 15 - 17 - 18 - 19 - 20 - 21
تطويرات,1,20
تطويره,3,15 - 18 - 21
تظل,1,14
تظهر,5,1 - 3 - 4 - 13 - 19
تع,1,2
تعاطينا,1,21
تعاظمت,1,21
تعاني,2,11 - 21
تعاون,1,21
تعبر,1,4
تعبير,1,14
تعبيرا,1,4
تعبيرات,1,4
تعتبر,5,1 - 3 - 4 - 15 - 21
تعتمد,10,2 - 7 - 10 - 11 - 13 - 15 - 16 - 19 - 20 - 21
تعد,2,14 - 15
تعددت,1,14
تعديل,3,12 - 19 - 20
تعرف,5,1 - 3 - 4 - 18 - 20
تعريف,3,4 - 8 - 19
تعريفات,1,4
تعريفنا,1,10
تعزز,2,7 - 10
تعزى,1,5
تعزيز,7,4 - 7 - 8 - 9 - 10 - 11 - 12
تعطي,4,1 - 3 - 4 - 7
تعظيم,1,4
تعقي,1,6
تعقيدا,3,3 - 8 - 13
تعقيدها,2,11 - 14
تعكس,1,10
تعل,2,5 - 6
تعلم,9,1 - 3 - 4 - 6 - 11 - 17 - 18 - 19 - 20
تعليم,2,4 - 19
تعليمات,1,18
تعليمي,1,19
تعمل,9,5 - 8 - 11 - 13 - 14 - 15 - 17 - 19 - 21
تعميم,1,19
تعني,2,15 - 18
تعنيه,2,13 - 18
تعود,2,5 - 10
تعيين,1,9
تغيب,1,21
تغير,1,4
تغيرا,1,10
تغيير,4,1 - 3 - 13 - 15
تغييرا,1,4
تغييره,2,1 - 3
تفاصيل,1,20
تفاعل,2,3 - 21
تفاعلاته,1,17
تفاعلها,2,1 - 3
تفاقم,2,7 - 21
تفتح,1,15
تفترض,1,21
تفتقر,1,9
تفرد,1,4
تفريعات,1,4
تفسح,1,18
تفسر,2,4 - 12
تفسير,3,2 - 8 - 13
تفسيرا,1,4
تفسيرات,1,4
تفسيره,2,13 - 14
تفسيرها,1,13
تفضي,1,7
تفعله,3,2 - 3 - 17
تفقد,1,18
تفكك,1,2
تفهم,1,18
تفوقها,2,10 - 21
تفيد,1,2
تق,1,1
تقارير,1,18
تقبل,1,14
تقترح,1,16
تقتصر,1,6
تقدم,6,7 - 8 - 10 - 19 - 20 - 21
تقدما,3,12 - 17 - 18
تقدي,1,1
تقديم,4,3 - 19 - 20 - 21
تقرر,1,19
تقريبا,8,1 - 3 - 8 - 10 - 11 - 14 - 17 - 21
تقرير,3,13 - 15 - 16
تقسيم,1,20
تقسيمه,1,3
تقسيمها,1,4
تقضي,2,4 - 17
تقلق,1,18
تقليد,2,1 - 3
تقليدي,1,14
تقليدية,2,1 - 3
تقليل,3,6 - 17 - 19
تقني,1,4
تقنيات,14,1 - 4 - 6 - 8 - 9 - 11 - 12 - 14 - 16 - 17 - 18 - 19 - 20 - 21
تقنياته,1,19
تقنية,4,6 - 9 - 18 - 21
تقنيتا,1,9
تقود,2,13 - 18
